               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 117,           0.0091737,           0.0077008,          0.00019376,             0.99856,             0.99045,             0.99157,             0.93845,           0.0081302,           0.0071952,          0.00017423,            0.002344,            0.002344,            0.002344
                 118,           0.0090105,           0.0077235,          0.00019168,             0.99822,             0.98994,             0.99204,             0.94332,           0.0078765,           0.0071534,          0.00016414,            0.002278,            0.002278,            0.002278
                 119,           0.0087746,           0.0075902,          0.00019666,             0.99058,             0.99731,             0.99487,             0.94522,           0.0076865,           0.0065237,          0.00016322,            0.002212,            0.002212,            0.002212
                 120,           0.0090603,           0.0077835,          0.00020271,             0.99057,             0.99673,             0.99487,             0.94482,           0.0076087,           0.0063714,          0.00016973,            0.002146,            0.002146,            0.002146
                 121,           0.0087042,           0.0074358,          0.00019882,             0.99949,             0.98726,             0.99267,             0.94129,           0.0077412,           0.0065956,          0.00017274,             0.00208,             0.00208,             0.00208
                 122,           0.0085777,           0.0073036,          0.00018817,             0.99828,             0.99045,             0.99152,              0.9467,           0.0076957,           0.0068925,          0.00017111,            0.002014,            0.002014,            0.002014
                 123,           0.0082106,           0.0069037,          0.00017374,             0.99852,             0.99045,             0.99156,             0.94405,            0.007549,           0.0068345,          0.00015651,            0.001948,            0.001948,            0.001948
                 124,           0.0084044,           0.0072153,          0.00019123,             0.99885,             0.99023,             0.99152,              0.9454,           0.0077499,           0.0067797,          0.00014498,            0.001882,            0.001882,            0.001882
                 125,           0.0083325,           0.0069628,          0.00019225,             0.99918,             0.99023,             0.99244,             0.95061,           0.0075113,           0.0065431,          0.00013382,            0.001816,            0.001816,            0.001816
                 126,           0.0084787,           0.0073173,          0.00015419,             0.99868,             0.99025,             0.99479,             0.94737,           0.0075049,           0.0065532,          0.00012257,             0.00175,             0.00175,             0.00175
                 127,           0.0084753,           0.0074748,          0.00015833,             0.99734,             0.99303,             0.99497,             0.95069,           0.0074211,           0.0062667,          0.00011904,            0.001684,            0.001684,            0.001684
                 128,           0.0080922,           0.0075524,          0.00015073,             0.99716,             0.99327,             0.99487,             0.94957,           0.0075004,             0.00638,           0.0001137,            0.001618,            0.001618,            0.001618
                 129,           0.0081608,           0.0073601,           0.0001421,             0.99696,             0.99331,             0.99476,             0.95164,           0.0074111,           0.0065995,          0.00011127,            0.001552,            0.001552,            0.001552
                 130,            0.008234,           0.0070273,          0.00018196,             0.99808,             0.99023,             0.99205,             0.94658,           0.0075523,           0.0068697,          0.00010818,            0.001486,            0.001486,            0.001486
                 131,           0.0080786,           0.0074594,          0.00013554,             0.99749,             0.99023,             0.99206,              0.9405,           0.0076333,           0.0070345,          0.00010551,             0.00142,             0.00142,             0.00142
                 132,           0.0079999,           0.0075379,          0.00012692,              0.9974,             0.99024,              0.9921,              0.9458,           0.0076744,           0.0068099,          0.00010054,            0.001354,            0.001354,            0.001354
                 133,           0.0079451,           0.0071039,           0.0001338,             0.99762,             0.99282,             0.99497,             0.95914,           0.0073027,           0.0063328,          8.9753e-05,            0.001288,            0.001288,            0.001288
                 134,           0.0077363,           0.0068256,          0.00011762,             0.99772,             0.99358,             0.99497,             0.95301,           0.0073479,           0.0064746,           8.148e-05,            0.001222,            0.001222,            0.001222
                 135,           0.0078803,            0.006889,           0.0001068,             0.99784,             0.99346,             0.99497,             0.95426,            0.007281,           0.0063154,          7.4298e-05,            0.001156,            0.001156,            0.001156
                 136,           0.0079733,           0.0072425,           0.0001347,             0.99823,             0.99352,             0.99497,             0.95093,           0.0073327,           0.0062426,          7.0182e-05,             0.00109,             0.00109,             0.00109
                 137,           0.0075871,           0.0070346,          0.00011734,              0.9979,             0.99335,             0.99497,             0.94984,           0.0074072,           0.0064355,          6.7313e-05,            0.001024,            0.001024,            0.001024
                 138,           0.0075509,           0.0066461,          0.00011149,              0.9991,             0.99045,             0.99487,             0.95299,           0.0073534,           0.0064643,          6.4999e-05,            0.000958,            0.000958,            0.000958
                 139,           0.0076852,           0.0071998,          0.00010245,             0.99895,             0.99045,             0.99484,             0.95367,           0.0073656,           0.0065313,          6.2159e-05,            0.000892,            0.000892,            0.000892
                 140,           0.0077832,           0.0070138,          0.00010148,             0.99905,             0.99045,             0.99484,             0.95236,           0.0074157,           0.0064491,          5.7701e-05,            0.000826,            0.000826,            0.000826
                 141,           0.0075639,           0.0069496,          9.1533e-05,             0.99919,             0.99045,             0.99497,             0.95474,           0.0073192,           0.0064044,           5.646e-05,             0.00076,             0.00076,             0.00076
                 142,           0.0075822,           0.0070959,          8.8553e-05,             0.99372,             0.99622,             0.99497,             0.95525,           0.0072534,           0.0062993,          5.4655e-05,            0.000694,            0.000694,            0.000694
                 143,           0.0076565,           0.0068975,          0.00010747,             0.99378,              0.9963,             0.99497,             0.95815,           0.0072564,           0.0063272,          5.1969e-05,            0.000628,            0.000628,            0.000628
                 144,           0.0075036,            0.006924,          9.3627e-05,             0.99371,              0.9961,             0.99497,              0.9566,           0.0072393,           0.0064088,          4.9825e-05,            0.000562,            0.000562,            0.000562
                 145,           0.0076948,            0.007173,          9.5148e-05,              0.9937,             0.99595,             0.99497,             0.95172,           0.0072879,           0.0063876,          4.9524e-05,            0.000496,            0.000496,            0.000496
                 146,           0.0075221,           0.0070581,          8.7648e-05,              0.9937,             0.99582,             0.99497,             0.95671,           0.0072644,           0.0063586,          4.9007e-05,             0.00043,             0.00043,             0.00043
                 147,           0.0073332,           0.0070084,          8.5418e-05,             0.99919,             0.99045,             0.99497,             0.95418,           0.0072691,           0.0064554,          4.8112e-05,            0.000364,            0.000364,            0.000364
                 148,           0.0074894,           0.0065734,          8.4103e-05,             0.99926,             0.99045,             0.99497,             0.95395,           0.0072822,           0.0063837,          4.7039e-05,            0.000298,            0.000298,            0.000298
                 149,            0.007183,           0.0066952,          9.6518e-05,             0.99927,             0.99045,             0.99497,             0.95534,           0.0073324,           0.0063443,          4.6765e-05,            0.000232,            0.000232,            0.000232
